Source,Author,Text,Party,Division,Sentiment
75_ksiazka.txt,Marszałek Elżbieta Witek," Otwieram posiedzenie.  Na sekretarzy dzisiejszych obrad powołuję posłów Marcina Duszka, Patryka Wichra, Rafała Bochenka i Filipa Kaczyńskiego. W pierwszej części obrad sekretarzami będą posłowie Marcin Duszek i Patryk Wicher. Protokół i listę mówców prowadzić będą posłowie Marcin Duszek i Filip Kaczyński. Protokół 74. posiedzenia Sejmu uważam za przyjęty.  Wysoka Izbo! 26 kwietnia br. zmarła Barbara Ciruk, poseł na Sejm IV kadencji, dziennikarka radiowa i telewizyjna. 8 maja br. zmarł Jerzy Szteliga, poseł na Sejm II, III i IV kadencji. Uczcijmy ich pamięć chwilą ciszy.      Dziękuję bardzo. Prezydium Sejmu proponuje, aby Sejm wysłuchał 5minutowych oświadczeń w imieniu klubów i 3minutowych oświadczeń w imieniu kół w dyskusjach nad punktami porządku dziennego. Jeżeli nie usłyszę sprzeciwu, będę uważała, że Sejm propozycję przyjął. Sprzeciwu nie słyszę. Informuję, że w związku z niezgłoszeniem przez uprawnione podmioty tematu informacji bieżącej oraz pytań w sprawach bieżących punkty te nie zostaną rozpatrzone na bieżącym posiedzeniu Sejmu. Punkty porządku dziennego bieżącego posiedzenia Sejmu będą rozpatrywane zgodnie z kolejnością zaopiniowaną przez Prezydium Sejmu i Konwent Seniorów.",PiS,Prawica,"{'neg': 0.025, 'neu': 0.961, 'pos': 0.014, 'compound': -0.4199}"
75_ksiazka.txt,Sekretarz Poseł Patryk Wicher,"Szanowna Pani Marszałek! Wysoka Izbo! Informuję, że w dniu dzisiejszym odbędą się posiedzenia Komisji:  Zdrowia  godz. 11.15,  Infrastruktury  godz. 11.30,  do Spraw Petycji  godz. 12,  Kultury i Środków Przekazu  godz. 12,  Polityki Senioralnej  godz. 12,  Cyfryzacji, Innowacyjności i Nowoczesnych Technologii  godz. 13,  do Spraw Petycji  godz. 13.30,  Finansów Publicznych  godz. 13.30,  Infrastruktury  godz. 13.30,  Energii, Klimatu i Aktywów Państwowych  bezpośrednio po zakończeniu głosowań, ok. godz. 14.30,  Finansów Publicznych wspólnie z Komisją Rolnictwa i Rozwoju Wsi  godz. 14.30,  Administracji i Spraw Wewnętrznych  godz. 15.30,  Gospodarki i Rozwoju wspólnie z Komisją Polityki Społecznej i Rodziny  godz. 15.30,  Rolnictwa i Rozwoju Wsi  godz. 15.30,  Sprawiedliwości i Praw Człowieka  godz. 16,  do Spraw Unii Europejskiej  godz. 17. Dziękuję bardzo. ",PiS,Prawica,"{'neg': 0.039, 'neu': 0.937, 'pos': 0.024, 'compound': -0.3786}"
75_ksiazka.txt,Marszałek Elżbieta Witek,"Dziękuję. Mamy wnioski formalne. Bardzo proszę, pan poseł Krzysztof Gawkowski, Lewica. .",PiS,Prawica,"{'neg': 0.0, 'neu': 0.885, 'pos': 0.115, 'compound': 0.0772}"
75_ksiazka.txt,Poseł Krzysztof Gawkowski,"Pani Marszałek! Wysoka Izbo! Zgłaszam wniosek formalny o przerwę i rozpoczęcie prawdziwej i rzetelnej debaty na temat tego, co stało się na polskim niebie. W grudniu na polskie niebo wleciała rakieta, która uderzyła w ziemię pod Bydgoszczą. Przez 5 miesięcy ani Ministerstwo Obrony Narodowej, ani służby specjalne, ani nikt z rządu nic nie powiedzieli Polakom o tym, że polskie niebo jest niebezpieczne, a rosyjskie rakiety wlatują na to niebo bez żadnej kontroli. Rząd ukrywał informacje i pomimo upływu kilkunastu dni do dzisiaj nic w tej sprawie nie wyjaśniono. Wzywam na mównicę ministra obrony narodowej pana Błaszczaka, żeby wytłumaczył Polkom i Polakom, co się stało, że przez 6 miesięcy śledziliście rakietę, a znalazła ją przypadkowa osoba. W odwadze i honorze niech pan, panie ministrze, tutaj stanie i powie Polakom, co się wydarzyło.  ",Lewica,Lewica,"{'neg': 0.047, 'neu': 0.868, 'pos': 0.084, 'compound': 0.7639}"
75_ksiazka.txt,Marszałek Elżbieta Witek,"Panie pośle, ta sprawa była omawiana na posiedzeniu Prezydium i na Konwencie. Ta sprawa kierowana jest w trybie niejawnym do dwóch komisji, do Komisji Obrony Narodowej połączonej z Komisją do Spraw Służb Specjalnych. Proszę bardzo, ponieważ zgłosił pan wniosek o przerwę, poddam ten wniosek pod głosowanie. Kto z pań i panów posłów jest za ogłoszeniem przerwy? Kto jest przeciw? Kto się wstrzymał?  Już zakończyłam, pani poseł. Głosowało 426 posłów. 196  za, 228  przeciw, 2 się wstrzymało. Sejm wniosek odrzucił. Z wnioskiem formalnym pani poseł Joanna Mucha, Polska 2050. Proszę. ",PiS,Prawica,"{'neg': 0.053, 'neu': 0.916, 'pos': 0.031, 'compound': -0.4291}"
75_ksiazka.txt,Poseł Joanna Mucha,"Dziękuję, pani marszałek. Szanowna Pani Marszałek! Zgłaszam wniosek formalny o odroczenie posiedzenia, dlatego że dzisiaj jako politycy jesteśmy odpowiedzialni za to, żeby napisać testament małego Kamilka, testament, dzięki któremu żadne kolejne polskie dziecko nie będzie torturowane tak, jak torturowany był mały Kamilek.   Szanowni Państwo! Niemoc rodzi przemoc. Niemoc państwa jest przyzwoleniem na przemoc dla sprawców tej przemocy. Państwo musi reagować na pierwsze przejawy przemocy  a nie czekać na przemoc ostateczną, która kończy się śmiercią, niejednokrotnie śmiercią dziecka, śmiercią kobiety. W Sejmie jest projekt ustawy  o systemowej analizie przypadków śmierci dzieci. To jest ustawa  ",Polska2050,Lewica,"{'neg': 0.16, 'neu': 0.816, 'pos': 0.023, 'compound': -0.944}"
75_ksiazka.txt,Marszałek Elżbieta Witek,"Pani poseł, dziękuję bardzo. To nie jest dyskusja w tej chwili. Pani zgłosiła wniosek o odroczenie posiedzenia. Poddam ten wniosek pod głosowanie. Proszę bardzo.  Kto z pań i panów posłów jest za odroczeniem posiedzenia?  Kto jest przeciw? Głosowało 425 posłów. 194  za, 229  przeciw, 2 się wstrzymało. Sejm wniosek odrzucił. Pan poseł Konrad Berkowicz, Konfederacja. Proszę. ",PiS,Prawica,"{'neg': 0.0, 'neu': 0.943, 'pos': 0.057, 'compound': 0.2406}"
75_ksiazka.txt,Poseł Konrad Berkowicz,"W sprawie śmierci Kamilka  pani poseł, to wy macie krew na rękach, bo nie dopuszczacie do przywrócenia kary śmierci w Polsce.  Natomiast ja w innej sprawie. Rząd najpierw wygenerował problem w polskim rolnictwie, a teraz zapowiada, że będzie ratował polskie rolnictwo kwotą 10 mld zł z pieniędzy podatników. Z rolników, którzy bez waszych szkodliwych działań doskonale poradziliby sobie sami, zrobiliście żebraków, którym łaskawie ofiarujecie teraz jałmużnę. Tymczasem polscy rolnicy nie są żebrakami, a wy nie jesteście łaskawcami, bo jedyne pieniądze, które macie, to te zagrabione Polakom w podatkach. To doskonała ilustracja powiedzenia, że socjalizm bohatersko walczy z problemami, które nie istnieją w normalnym ustroju. Dlatego domagamy się powołania komisji śledczej w sprawie afery dotyczącej rolnictwa i już zgłosiliśmy odpowiedni projekt ustawy, a wy boicie się nawet poddać go pod głosowanie. Dość oszukiwania rolników, dość oszukiwania  polskich konsumentów. Dziękuję bardzo.  ",Konfederacja,Prawica,"{'neg': 0.04, 'neu': 0.874, 'pos': 0.086, 'compound': 0.743}"
75_ksiazka.txt,Marszałek Elżbieta Witek,"Dziękuję bardzo. To nie był wniosek formalny. Proszę bardzo, pani poseł Magdalena Sroka, Porozumienie. .",PiS,Prawica,"{'neg': 0.0, 'neu': 0.727, 'pos': 0.273, 'compound': 0.5423}"
75_ksiazka.txt,Poseł Magdalena Sroka,"Pani Marszałek! Wysoka Izbo! Wczoraj Polskę obiegła tragiczna informacja o śmierci 8letniego dziecka. Tymczasem co państwo robicie? Otwieracie nowe komisariaty. Zapominacie jednak o tym, że nowe komisariaty i posterunki, które były waszym flagowym projektem, muszą być obsadzone przez funkcjonariuszy Policji. W połowie te posterunki są zamknięte. Dlatego dzisiaj wnoszę o zwołanie Konwentu Seniorów i uzupełnienie porządku obrad o informację ministra spraw wewnętrznych i administracji dotyczącą tego, ile takich komisariatów jest faktycznie zamkniętych. Bo one czasem są otwierane na 4 godziny w tygodniu. Tak właśnie ma wyglądać zwiększanie bezpieczeństwa? To o to chodziło w budowie posterunków i komisariatów? Dziękuję.  ",Porozumienie,Prawica,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
